Barangay_key,DOnset,0
talomo,2023-08-13,13
talomo,2023-07-30,12
talomo,2023-08-20,12
bucana,2023-08-13,12
bago gallera,2023-08-06,11
talomo,2023-07-23,10
catalunan grande,2023-08-06,10
talomo river,2024-04-03,9
talomo,2023-08-27,9
bucana,2023-07-30,9
cabantian,2023-08-06,8
bucana,2019-07-12,8
ma a,2023-08-06,8
bucana,2019-07-24,8
baliok,2023-08-27,8
talomo,2023-09-15,8
bucana,2024-08-31,8
bucana,2019-06-25,8
buhangin,2023-08-06,8
buhangin,2023-07-30,8
talomo,2023-08-06,7
tacunan,2023-08-06,7
santo nino,2023-07-30,7
matina crossing,2024-04-22,7
lizada,2023-08-13,7
gumalang,2024-02-18,7
talomo,2019-07-20,7
catalunan pequeno,2023-08-06,7
bucana,2019-08-20,7
bucana,2019-07-18,7
bucana,2019-08-01,7
matina crossing,2024-08-16,7
talomo,2023-06-15,7
ma a,2024-08-09,6
matina crossing,2023-08-06,6
ma a,2024-07-19,6
ma a,2024-08-21,6
talomo river,2024-06-29,6
talomo,2023-10-06,6
mandug,2024-05-29,6
catalunan pequeno,2023-07-30,6
toril,2019-07-20,6
talomo,2019-01-27,6
sasa,2023-08-20,6
ma a,2024-09-11,6
toril,2024-08-20,6
barangay 19 b,2019-06-30,6
matina crossing,2019-07-11,6
talomo,2019-07-21,6
talomo,2024-08-25,6
catalunan grande,2023-08-13,6
talomo,2019-08-02,6
matina crossing,2019-07-13,6
catalunan grande,2023-07-23,6
catalunan grande,2023-07-30,6
calinan,2024-09-17,6
barangay 19 b,2019-07-24,6
calinan,2023-08-20,6
barangay 19 b,2023-08-06,6
buhangin,2024-07-08,6
buhangin,2024-07-22,6
matina crossing,2019-08-16,6
buhangin,2023-08-27,6
buhangin,2019-07-19,6
tibungco,2024-08-02,6
bucana,2024-02-25,6
talomo,2024-07-05,6
bago gallera,2023-08-27,5
talomo,2019-07-10,5
tacunan,2023-08-20,5
marilog,2018-11-15,5
talomo,2019-07-12,5
talomo,2018-07-28,5
toril,2024-08-03,5
tibungco,2021-04-11,5
matina crossing,2023-08-13,5
bago gallera,2023-07-23,5
talomo,2024-08-08,5
ma a,2019-06-20,5
los amigos,2024-03-06,5
gumalang,2024-02-17,5
ma a,2019-08-07,5
dacudao,2024-01-08,5
crossing bayabas,2023-08-13,5
catalunan pequeno,2024-08-16,5
ma a,2019-08-14,5
talomo,2023-07-15,5
catalunan grande,2024-07-25,5
catalunan grande,2023-10-07,5
catalunan grande,2023-08-20,5
catalunan grande,2023-08-27,5
tibungco,2024-11-30,5
sasa,2019-09-01,5
sasa,2019-10-10,5
catalunan grande,2023-06-15,5
calinan,2024-12-10,5
matina crossing,2019-07-03,5
calinan,2024-09-10,5
calinan,2024-07-28,5
catalunan pequeno,2023-08-27,5
calinan,2024-06-04,5
sasa,2019-08-02,5
matina crossing,2023-11-04,5
barangay 19 b,2019-08-08,5
barangay 19 b,2019-07-14,5
tibungco,2023-08-27,5
cabantian,2023-08-27,5
cabantian,2023-02-06,5
sasa,2024-08-16,5
bunawan,2024-02-29,5
bunawan,2023-01-06,5
buhangin,2024-08-16,5
buhangin,2024-08-31,5
subasta,2024-01-14,5
buhangin,2024-07-15,5
buhangin,2024-07-19,5
talomo,2024-08-02,5
buhangin,2023-07-23,5
matina crossing,2019-08-02,5
bago gallera,2023-03-06,5
buhangin,2023-08-13,5
bago gallera,2023-08-20,5
bago gallera,2023-08-13,5
buhangin,2023-06-28,5
buhangin,2019-08-19,5
talomo,2024-08-30,5
bucana,2024-10-05,5
sasa,2024-08-31,5
bucana,2024-07-09,5
talomo,2023-12-06,5
talomo,2019-07-08,5
talomo,2024-09-06,5
ma a,2019-07-30,5
ma a,2019-07-02,5
bucana,2019-07-21,5
matina crossing,2019-08-07,5
ma a,2019-06-16,5
bucana,2019-07-10,5
talomo,2017-06-20,5
buhangin,2023-06-20,5
talomo,2023-03-05,4
toril,2025-02-27,4
talomo,2024-08-11,4
talomo,2024-07-14,4
ma a,2024-07-04,4
matina crossing,2019-07-20,4
agdao,2024-06-25,4
matina crossing,2024-06-23,4
talomo,2024-12-04,4
talomo,2023-02-06,4
talomo,2024-08-21,4
talomo,2018-08-24,4
talomo,2018-07-15,4
malagos,2023-06-05,4
catalunan pequeno,2024-08-18,4
panacan,2024-02-16,4
toril,2024-02-02,4
bago aplaya,2023-07-30,4
talomo,2023-01-06,4
toril,2024-01-01,4
alfonso angliongto sr,2020-01-02,4
mintal,2019-07-10,4
toril,2023-08-06,4
ma a,2024-04-04,4
toril,2023-08-27,4
talomo,2018-07-27,4
mintal,2023-10-06,4
talomo,2019-09-20,4
tibungco,2025-02-15,4
talomo,2019-10-04,4
matina crossing,2019-08-21,4
sasa,2021-02-01,4
mintal,2019-07-27,4
tibungco,2024-12-05,4
malagos,2023-05-27,4
ma a,2023-08-13,4
mintal,2024-08-18,4
matina aplaya,2019-06-26,4
mintal,2024-09-22,4
tibungco,2024-09-04,4
ma a,2024-09-13,4
sasa,2019-08-24,4
tibungco,2024-09-17,4
matina crossing,2019-07-25,4
talomo,2024-07-31,4
panacan,2023-08-06,4
talomo,2019-09-06,4
mintal,2023-08-13,4
matina crossing,2024-12-08,4
ma a,2021-08-11,4
ma a,2020-03-01,4
ma a,2019-09-01,4
tacunan,2023-07-15,4
ma a,2019-08-03,4
tibungco,2024-08-18,4
toril,2019-01-01,4
ma a,2019-08-19,4
talomo,2024-02-29,4
talomo,2021-07-09,4
ma a,2019-07-11,4
